technical_knowledge,problem_solving,logical_thinking,programming_coding,communication,job_readiness
3.38,3.24,4.84,3.84,4.12,Not Ready
4.91,2.97,2.82,4.33,4.94,Not Ready
5.9,7.44,3.98,6.06,4.49,Needs Improvement
6.49,6.92,8.36,7.34,5.97,Job Ready
9.37,9.15,8.98,8.87,9.38,Highly Job Ready
8.9,9.17,8.32,8.93,8.98,Highly Job Ready
5.77,6.0,6.28,5.2,7.19,Needs Improvement
3.37,4.85,1.81,4.79,3.36,Not Ready
8.65,9.36,9.2,7.96,8.04,Highly Job Ready
7.92,7.22,6.93,6.49,9.05,Job Ready
9.6,8.42,9.72,9.71,8.84,Highly Job Ready
3.0,3.61,5.0,4.25,2.19,Not Ready
9.41,7.76,8.99,8.25,7.87,Highly Job Ready
6.57,4.23,7.19,6.55,5.76,Needs Improvement
4.3,5.81,4.75,4.15,5.93,Needs Improvement
5.85,4.87,5.41,5.55,5.11,Needs Improvement
5.01,7.85,6.25,6.48,4.27,Needs Improvement
3.7,1.96,3.96,4.32,3.54,Not Ready
6.2,6.18,7.65,5.17,6.66,Needs Improvement
8.09,6.31,7.31,6.35,6.46,Job Ready
7.74,8.07,7.72,7.75,6.46,Job Ready
10.0,9.2,8.95,7.9,9.0,Highly Job Ready
4.59,3.31,3.98,4.52,3.44,Not Ready
4.53,6.69,5.48,6.62,5.03,Needs Improvement
4.39,6.83,4.56,6.56,5.13,Needs Improvement
10.0,8.72,8.77,9.79,8.44,Highly Job Ready
8.08,8.12,8.13,8.57,8.0,Highly Job Ready
6.71,6.57,5.65,5.53,4.15,Needs Improvement
4.39,1.25,5.49,3.99,4.95,Not Ready
7.78,8.43,9.73,8.12,8.31,Highly Job Ready
4.21,4.68,3.94,3.95,4.75,Not Ready
7.59,8.68,8.52,7.63,7.04,Job Ready
5.73,7.4,6.9,6.93,8.98,Job Ready
7.15,5.64,7.02,7.31,7.44,Job Ready
6.58,7.38,6.28,6.42,6.06,Job Ready
4.32,5.74,5.26,5.16,6.21,Needs Improvement
4.57,5.55,7.07,6.03,4.52,Needs Improvement
7.88,8.05,9.41,8.52,8.03,Highly Job Ready
9.44,9.47,7.73,8.27,8.5,Highly Job Ready
9.07,9.13,7.91,8.91,8.72,Highly Job Ready
5.7,6.33,6.02,6.94,5.87,Needs Improvement
4.95,4.42,5.34,3.62,3.0,Not Ready
2.06,4.75,4.27,1.95,3.77,Not Ready
7.87,6.85,7.31,8.5,7.99,Job Ready
3.17,6.58,4.3,3.16,4.33,Not Ready
9.08,5.89,7.0,6.42,8.14,Job Ready
8.08,9.97,7.93,8.58,8.18,Highly Job Ready
8.32,9.52,9.6,8.61,9.88,Highly Job Ready
4.53,3.18,5.12,1.05,2.9,Not Ready
8.76,9.47,9.2,9.1,8.54,Highly Job Ready
3.67,3.92,4.78,5.38,3.8,Not Ready
7.94,8.96,9.5,9.03,8.74,Highly Job Ready
7.01,5.29,6.03,5.75,4.19,Needs Improvement
6.16,4.04,4.9,7.08,7.53,Needs Improvement
4.72,7.06,5.18,7.71,6.36,Needs Improvement
6.69,7.82,7.26,7.44,7.6,Job Ready
8.44,9.08,9.27,7.91,9.69,Highly Job Ready
5.66,5.64,5.26,5.63,5.86,Needs Improvement
7.49,7.82,7.3,7.39,6.41,Job Ready
3.62,4.24,4.95,2.58,3.66,Not Ready
6.44,8.46,7.18,8.91,7.22,Job Ready
7.14,7.99,7.92,8.27,6.59,Job Ready
7.15,7.74,6.29,5.9,8.99,Job Ready
8.81,6.58,7.14,7.63,6.57,Job Ready
1.91,4.13,3.39,1.07,3.18,Not Ready
7.46,7.47,7.4,5.58,7.23,Job Ready
6.89,6.32,6.03,5.94,5.63,Needs Improvement
6.07,7.49,7.36,8.76,7.1,Job Ready
8.83,8.72,8.7,8.53,7.95,Highly Job Ready
8.74,7.41,8.55,9.56,8.51,Highly Job Ready
7.24,6.63,7.37,6.93,8.23,Job Ready
8.44,8.27,8.9,8.49,9.37,Highly Job Ready
6.8,9.14,7.08,6.67,8.28,Job Ready
3.08,2.96,4.69,4.73,3.63,Not Ready
5.86,5.43,5.78,5.76,5.97,Needs Improvement
2.11,4.45,0.81,4.04,3.25,Not Ready
8.0,6.9,6.59,6.37,7.66,Job Ready
8.53,8.95,8.06,9.65,8.92,Highly Job Ready
3.53,1.75,2.88,4.43,4.25,Not Ready
2.77,3.5,3.01,5.39,3.61,Not Ready
8.9,8.77,8.13,9.3,8.8,Highly Job Ready
5.09,4.67,6.78,4.18,6.68,Needs Improvement
9.35,7.65,8.74,9.1,8.83,Highly Job Ready
6.58,7.1,6.95,7.02,6.19,Job Ready
9.25,8.8,8.49,8.61,8.35,Highly Job Ready
4.95,5.17,2.63,1.66,3.91,Not Ready
9.6,8.45,8.64,9.49,8.74,Highly Job Ready
8.72,8.66,8.98,8.38,10.0,Highly Job Ready
6.17,5.29,6.55,5.14,4.82,Needs Improvement
6.21,5.27,6.85,4.96,5.25,Needs Improvement
6.94,5.88,4.45,8.04,5.77,Needs Improvement
3.67,4.54,5.29,5.01,6.18,Needs Improvement
5.89,5.81,5.75,5.25,5.37,Needs Improvement
7.51,6.65,7.33,5.08,6.38,Job Ready
6.89,8.19,7.2,7.82,7.87,Job Ready
7.87,8.82,8.16,6.8,6.45,Job Ready
6.98,6.48,7.17,6.82,6.44,Job Ready
7.04,6.34,7.45,6.95,6.49,Job Ready
3.49,2.73,2.8,1.92,4.07,Not Ready
9.77,7.85,9.28,8.48,8.2,Highly Job Ready
7.62,6.5,6.65,8.09,8.81,Job Ready
6.41,7.35,5.74,8.07,5.34,Needs Improvement
4.26,5.46,6.34,5.14,8.19,Needs Improvement
6.93,7.58,5.76,6.68,7.06,Job Ready
8.01,9.94,8.1,9.23,8.93,Highly Job Ready
8.32,8.45,9.02,9.19,9.3,Highly Job Ready
7.51,6.89,6.5,6.29,5.9,Job Ready
6.75,6.62,6.3,7.13,8.8,Job Ready
4.64,5.36,6.36,6.37,5.11,Needs Improvement
4.8,6.1,5.67,5.87,6.79,Needs Improvement
8.55,8.36,9.12,8.06,9.3,Highly Job Ready
7.22,5.85,7.18,7.82,6.16,Job Ready
6.07,6.35,5.67,5.5,5.64,Needs Improvement
5.45,6.26,6.3,6.64,7.15,Needs Improvement
8.8,8.62,9.22,9.5,8.74,Highly Job Ready
8.81,9.45,8.9,9.83,8.11,Highly Job Ready
6.47,8.14,8.29,7.46,6.03,Job Ready
7.66,7.43,8.23,6.68,7.33,Job Ready
2.91,3.29,5.32,4.56,3.82,Not Ready
8.05,7.04,7.85,7.49,7.91,Job Ready
3.91,5.24,2.55,4.19,2.75,Not Ready
9.08,8.88,10.0,7.36,9.11,Highly Job Ready
1.89,3.79,4.11,3.45,1.67,Not Ready
7.91,7.17,7.78,6.76,7.15,Job Ready
2.28,4.78,2.88,4.53,3.79,Not Ready
4.66,6.41,6.11,6.51,6.63,Needs Improvement
7.54,8.85,8.23,8.53,9.0,Highly Job Ready
9.38,9.63,9.08,9.48,8.37,Highly Job Ready
2.7,4.92,4.6,3.92,2.92,Not Ready
6.11,7.99,7.4,7.46,8.52,Job Ready
9.17,9.43,8.71,7.91,7.91,Highly Job Ready
3.51,3.98,5.49,0.85,3.53,Not Ready
5.06,8.34,5.55,4.42,5.14,Needs Improvement
7.85,8.55,9.38,8.95,7.73,Highly Job Ready
9.03,8.8,9.48,8.2,9.17,Highly Job Ready
8.32,8.62,8.62,10.0,8.54,Highly Job Ready
3.27,4.56,4.87,4.36,3.5,Not Ready
6.45,5.73,5.45,6.83,5.29,Needs Improvement
7.73,8.12,9.45,6.97,6.84,Job Ready
6.23,7.12,7.39,7.5,7.7,Job Ready
8.72,8.77,8.64,9.09,9.21,Highly Job Ready
6.61,5.43,7.61,6.36,6.39,Job Ready
7.5,6.58,7.14,7.57,4.4,Job Ready
9.45,7.46,7.86,5.87,6.89,Job Ready
8.85,9.1,8.63,9.23,9.83,Highly Job Ready
2.39,4.09,5.89,1.9,2.33,Not Ready
8.37,6.57,6.88,8.84,7.5,Job Ready
8.64,9.14,8.63,8.58,9.47,Highly Job Ready
4.22,6.58,5.23,5.43,4.04,Needs Improvement
4.91,5.99,6.22,4.08,6.25,Needs Improvement
3.49,3.66,4.75,1.51,2.31,Not Ready
6.14,4.95,3.48,5.35,6.52,Needs Improvement
7.56,7.71,6.16,7.3,7.73,Job Ready
3.16,5.03,4.49,3.65,4.51,Not Ready
7.4,8.65,6.65,7.3,6.19,Job Ready
8.16,9.67,9.75,8.97,9.26,Highly Job Ready
3.91,2.84,3.12,2.1,2.78,Not Ready
9.02,8.92,9.82,9.09,9.66,Highly Job Ready
3.86,3.66,5.14,3.59,3.0,Not Ready
6.26,3.33,3.21,2.86,4.51,Not Ready
7.12,6.02,6.4,6.07,6.03,Needs Improvement
8.78,9.16,7.86,8.96,8.76,Highly Job Ready
5.7,7.36,6.1,6.22,6.79,Needs Improvement
6.72,6.23,5.63,5.67,6.5,Needs Improvement
2.44,4.18,4.08,5.05,4.43,Not Ready
3.18,3.34,4.42,2.85,3.33,Not Ready
7.46,8.62,6.04,6.53,9.68,Job Ready
3.7,3.29,0.4,2.37,5.09,Not Ready
5.54,5.69,5.7,5.73,5.62,Needs Improvement
9.29,8.57,9.63,8.8,8.88,Highly Job Ready
8.81,6.63,7.93,7.25,7.02,Job Ready
5.47,7.33,8.47,7.34,7.01,Job Ready
7.29,6.17,4.54,4.34,5.69,Needs Improvement
8.92,9.77,8.31,9.48,8.38,Highly Job Ready
8.83,8.61,7.84,8.78,8.59,Highly Job Ready
9.17,9.49,9.11,9.44,7.96,Highly Job Ready
8.47,10.0,7.94,9.08,8.96,Highly Job Ready
8.96,8.49,8.06,9.28,9.33,Highly Job Ready
8.57,8.4,7.47,7.08,7.73,Job Ready
8.36,8.69,8.46,9.65,8.67,Highly Job Ready
5.05,1.77,4.92,3.81,3.57,Not Ready
4.71,4.93,5.29,5.85,2.8,Not Ready
5.82,4.82,5.33,4.65,4.59,Needs Improvement
6.73,6.8,7.24,7.57,7.71,Job Ready
7.02,6.7,6.82,8.78,7.56,Job Ready
8.0,8.36,8.7,8.67,9.99,Highly Job Ready
4.13,5.23,3.3,0.92,1.84,Not Ready
5.18,6.38,7.25,7.35,8.73,Job Ready
5.11,5.84,5.5,4.29,4.93,Needs Improvement
2.6,4.35,3.65,1.69,4.87,Not Ready
8.15,8.67,8.66,9.26,9.1,Highly Job Ready
7.83,10.0,8.48,8.48,9.43,Highly Job Ready
4.22,4.6,6.42,4.92,1.98,Not Ready
9.14,9.43,7.64,9.04,9.5,Highly Job Ready
2.97,4.16,3.69,6.21,5.61,Not Ready
8.33,7.61,8.28,8.31,8.3,Highly Job Ready
6.24,4.55,6.95,7.92,6.75,Needs Improvement
6.2,5.78,5.32,4.33,5.31,Needs Improvement
4.61,2.24,2.89,5.3,4.77,Not Ready
4.65,3.62,3.05,4.43,4.02,Not Ready
5.06,6.28,6.14,4.77,6.94,Needs Improvement
8.72,7.6,8.97,7.26,8.11,Job Ready
6.82,5.47,6.54,5.85,4.95,Needs Improvement
4.12,2.64,4.63,3.87,1.62,Not Ready
8.12,4.28,4.8,4.81,4.38,Needs Improvement
6.02,7.32,6.2,6.49,6.91,Needs Improvement
8.02,8.42,8.22,9.74,8.23,Highly Job Ready
4.57,3.69,3.31,3.71,1.86,Not Ready
3.5,3.87,3.92,4.05,4.69,Not Ready
6.33,6.93,7.51,5.67,7.26,Job Ready
2.75,4.75,4.86,4.55,4.66,Not Ready
8.49,8.36,8.88,9.18,10.0,Highly Job Ready
3.69,3.42,6.91,4.25,2.97,Not Ready
9.84,8.99,8.65,9.29,9.11,Highly Job Ready
7.63,8.76,7.97,8.33,6.78,Job Ready
5.58,6.04,5.97,6.31,4.93,Needs Improvement
5.83,3.95,4.93,3.23,2.44,Not Ready
6.55,5.33,4.08,6.05,6.49,Needs Improvement
6.41,5.07,5.25,5.36,4.04,Needs Improvement
5.63,4.46,6.74,3.2,5.38,Needs Improvement
3.57,2.52,3.54,1.97,2.75,Not Ready
6.19,5.02,5.73,5.71,3.7,Needs Improvement
2.4,2.84,3.97,3.78,4.13,Not Ready
5.55,6.72,6.63,4.87,4.99,Needs Improvement
8.68,9.42,7.68,6.17,6.64,Job Ready
5.57,7.06,6.4,4.67,5.95,Needs Improvement
8.8,8.49,8.55,8.41,9.87,Highly Job Ready
5.75,8.02,6.54,8.19,10.0,Job Ready
5.99,3.28,4.1,4.98,3.61,Not Ready
6.15,6.59,5.69,7.49,6.03,Needs Improvement
3.98,4.69,4.73,1.94,1.22,Not Ready
7.27,7.27,8.73,4.89,6.49,Job Ready
3.75,4.31,3.45,3.33,3.91,Not Ready
4.03,5.05,5.33,3.72,5.36,Not Ready
2.79,3.69,1.78,2.11,6.25,Not Ready
5.5,3.58,1.44,3.58,4.73,Not Ready
4.03,2.54,4.26,3.87,2.3,Not Ready
4.65,6.48,4.68,7.36,4.17,Needs Improvement
7.18,8.02,7.77,6.66,7.42,Job Ready
7.49,7.25,8.03,7.82,4.76,Job Ready
6.06,6.78,6.96,6.97,7.43,Job Ready
5.91,7.9,7.95,7.34,6.56,Job Ready
9.05,8.68,8.32,9.51,9.03,Highly Job Ready
6.33,6.04,6.76,6.26,6.96,Needs Improvement
9.29,9.07,8.62,8.73,9.29,Highly Job Ready
5.01,3.02,2.81,4.35,2.03,Not Ready
7.1,6.55,7.59,6.67,7.14,Job Ready
7.68,9.2,8.05,9.0,8.89,Highly Job Ready
6.62,6.04,6.28,4.44,7.5,Needs Improvement
5.64,6.92,7.44,7.65,7.18,Job Ready
8.39,8.66,8.45,8.79,9.96,Highly Job Ready
6.36,5.72,4.88,4.89,7.17,Needs Improvement
3.7,3.76,3.55,2.14,3.21,Not Ready
6.93,6.68,6.83,7.14,7.22,Job Ready
8.79,7.93,9.05,7.58,9.03,Highly Job Ready
7.22,8.51,8.75,8.56,7.97,Job Ready
8.9,7.57,8.85,9.13,9.21,Highly Job Ready
6.61,8.4,7.95,6.71,7.33,Job Ready
5.36,3.93,6.81,5.54,6.5,Needs Improvement
8.01,6.93,7.09,6.34,6.75,Job Ready
2.22,1.72,1.21,2.43,5.32,Not Ready
7.79,6.01,6.12,6.96,7.07,Job Ready
6.4,7.98,8.06,7.57,8.26,Job Ready
6.68,6.4,5.71,6.16,7.08,Job Ready
3.35,3.96,2.86,2.48,2.72,Not Ready
3.86,4.35,4.38,4.49,3.37,Not Ready
9.27,8.79,7.61,8.87,7.7,Highly Job Ready
7.77,7.1,6.82,6.41,6.8,Job Ready
3.5,4.77,4.07,3.68,5.37,Not Ready
3.73,4.64,2.83,2.56,4.06,Not Ready
6.32,7.76,6.69,6.73,8.73,Needs Improvement
3.06,4.07,3.46,4.57,4.35,Not Ready
4.93,6.73,6.72,4.85,6.27,Needs Improvement
5.71,6.38,6.99,6.09,5.38,Needs Improvement
6.17,3.54,2.33,3.88,2.56,Not Ready
7.6,6.91,7.34,6.39,7.51,Job Ready
5.84,6.52,5.93,4.57,5.03,Needs Improvement
7.96,5.86,5.07,4.67,6.32,Needs Improvement
6.95,6.11,8.66,7.24,8.92,Job Ready
5.97,8.51,6.09,7.33,6.95,Needs Improvement
7.18,7.66,7.59,7.79,7.78,Job Ready
8.97,8.18,8.6,9.97,8.5,Highly Job Ready
5.89,7.69,5.4,5.17,5.28,Needs Improvement
9.0,6.83,8.84,7.3,8.81,Job Ready
4.32,4.45,3.93,4.18,4.69,Not Ready
4.55,3.95,4.77,5.03,4.27,Needs Improvement
3.23,6.03,3.82,5.28,4.1,Not Ready
6.75,6.72,7.65,7.18,5.66,Job Ready
8.26,6.99,7.26,7.25,7.97,Job Ready
4.11,2.58,4.03,2.0,4.42,Not Ready
6.07,4.82,5.51,5.14,6.37,Needs Improvement
7.64,7.31,5.99,6.77,6.95,Job Ready
3.29,5.47,3.95,4.1,5.6,Not Ready
5.65,6.73,3.33,1.57,3.44,Not Ready
8.31,8.72,8.36,8.79,8.12,Highly Job Ready
6.75,6.58,6.35,4.85,7.01,Needs Improvement
4.14,2.25,4.04,2.51,5.48,Not Ready
8.32,8.16,9.6,8.02,8.67,Highly Job Ready
3.71,3.88,5.92,5.46,4.75,Needs Improvement
6.03,6.81,5.18,5.2,5.97,Needs Improvement
8.49,9.55,8.54,9.21,8.92,Highly Job Ready
2.81,3.18,4.42,2.7,4.3,Not Ready
7.6,7.17,8.19,6.62,7.4,Job Ready
5.08,3.52,2.61,3.73,5.01,Not Ready
8.29,8.95,9.24,8.48,9.34,Highly Job Ready
6.38,7.05,6.9,7.02,8.11,Job Ready
9.63,8.37,7.34,8.15,8.09,Highly Job Ready
9.49,8.67,8.78,8.43,8.8,Highly Job Ready
7.1,7.34,6.56,7.91,8.46,Job Ready
7.56,8.53,6.24,9.34,8.22,Job Ready
8.52,8.1,8.46,8.48,8.36,Highly Job Ready
5.56,5.6,6.19,6.35,5.01,Needs Improvement
9.45,8.58,8.61,9.03,8.07,Highly Job Ready
6.16,5.75,6.83,5.21,6.74,Needs Improvement
6.23,5.55,5.17,7.39,5.62,Needs Improvement
4.13,4.53,2.12,3.43,3.26,Not Ready
9.06,8.47,8.99,9.78,8.93,Highly Job Ready
9.43,6.64,6.83,10.0,7.66,Job Ready
3.32,6.36,2.0,5.25,5.37,Not Ready
6.64,5.71,6.18,5.29,6.34,Needs Improvement
7.3,6.88,7.01,7.98,8.57,Job Ready
3.67,6.44,3.9,5.85,4.21,Not Ready
5.38,4.52,6.2,6.32,6.84,Needs Improvement
6.43,5.16,5.85,5.21,5.3,Needs Improvement
7.35,6.63,5.46,6.07,5.95,Needs Improvement
5.8,6.05,7.79,6.12,3.54,Needs Improvement
3.64,4.51,1.81,3.99,3.35,Not Ready
8.24,6.87,6.75,8.39,8.28,Job Ready
4.41,7.15,1.76,4.17,2.93,Not Ready
7.13,6.56,8.79,6.42,6.68,Job Ready
7.11,6.95,6.25,7.43,5.43,Needs Improvement
3.56,7.59,5.66,6.35,4.49,Needs Improvement
9.32,7.58,7.88,8.47,10.0,Highly Job Ready
5.38,6.79,6.25,6.34,4.12,Needs Improvement
5.98,4.8,7.03,4.72,5.39,Needs Improvement
6.38,3.77,5.59,6.88,5.82,Needs Improvement
4.06,5.32,7.03,3.13,5.45,Not Ready
10.0,7.81,7.87,9.17,9.86,Highly Job Ready
9.08,5.8,7.01,8.38,6.07,Job Ready
2.94,2.36,4.39,4.25,1.75,Not Ready
7.71,6.54,7.59,9.36,7.39,Job Ready
6.15,5.3,5.55,5.08,5.65,Needs Improvement
5.56,5.81,6.64,6.87,5.47,Needs Improvement
6.81,6.45,6.73,5.84,6.54,Needs Improvement
4.86,6.72,5.72,6.12,6.24,Needs Improvement
6.13,8.02,6.53,8.07,7.12,Job Ready
8.24,9.31,9.77,8.44,9.16,Highly Job Ready
5.38,6.0,7.31,6.01,7.11,Needs Improvement
2.6,5.07,3.33,2.17,4.31,Not Ready
8.7,9.17,9.15,8.66,8.09,Highly Job Ready
6.14,4.95,3.66,6.19,6.29,Needs Improvement
4.68,2.39,5.13,7.09,4.22,Not Ready
4.06,5.45,3.91,4.47,3.73,Not Ready
7.08,7.05,6.71,7.66,7.5,Job Ready
9.77,8.5,9.07,9.19,9.92,Highly Job Ready
3.74,3.71,5.87,4.83,3.81,Not Ready
4.7,4.8,2.87,1.72,5.58,Not Ready
9.81,8.13,8.56,9.23,9.76,Highly Job Ready
3.09,1.95,4.57,5.09,3.75,Not Ready
9.52,8.68,8.17,7.7,8.69,Highly Job Ready
5.47,6.53,7.4,6.54,4.41,Needs Improvement
7.23,6.71,6.76,8.01,7.26,Job Ready
8.52,8.59,7.99,9.05,8.47,Highly Job Ready
5.62,7.27,8.04,7.68,9.2,Job Ready
2.6,3.76,3.7,2.76,3.45,Not Ready
5.14,4.07,7.47,6.58,6.53,Needs Improvement
2.84,3.16,3.33,3.84,3.44,Not Ready
3.86,4.08,1.76,3.05,4.05,Not Ready
5.02,6.2,5.71,5.17,5.17,Needs Improvement
7.16,7.89,7.47,6.11,7.22,Job Ready
9.22,9.28,8.99,8.93,8.87,Highly Job Ready
7.47,8.07,8.23,7.97,8.51,Job Ready
7.99,8.4,8.21,9.95,9.39,Highly Job Ready
7.8,7.98,7.13,6.7,7.86,Job Ready
6.34,5.96,5.06,7.56,5.47,Needs Improvement
9.06,7.52,8.38,9.11,8.13,Highly Job Ready
5.48,6.59,5.98,4.55,4.46,Needs Improvement
7.09,7.67,6.25,7.83,6.88,Job Ready
4.27,5.5,5.96,6.54,6.66,Needs Improvement
3.78,4.61,2.61,3.79,3.56,Not Ready
9.51,9.41,9.23,7.64,9.53,Highly Job Ready
6.93,8.67,7.78,8.13,7.67,Job Ready
5.12,5.9,4.38,5.91,4.91,Needs Improvement
3.21,5.41,2.6,2.88,4.04,Not Ready
4.86,4.38,5.12,6.34,6.46,Needs Improvement
7.15,8.73,7.37,6.96,6.91,Job Ready
5.16,6.76,5.57,5.18,4.61,Needs Improvement
6.74,8.56,7.71,6.61,7.38,Job Ready
4.99,5.79,4.16,4.6,6.8,Needs Improvement
3.93,5.09,3.78,1.2,3.58,Not Ready
7.38,3.13,4.85,8.39,6.36,Needs Improvement
7.09,6.58,7.83,6.62,6.46,Job Ready
9.0,8.11,9.85,8.61,8.5,Highly Job Ready
3.58,4.18,4.22,5.32,3.41,Not Ready
3.74,2.83,2.4,2.79,3.42,Not Ready
10.0,9.11,8.39,7.15,7.71,Highly Job Ready
8.98,8.3,9.42,9.22,9.51,Highly Job Ready
4.17,2.8,4.0,5.19,3.43,Not Ready
5.95,5.9,7.66,6.61,7.56,Job Ready
8.8,7.76,6.52,6.68,8.47,Job Ready
7.05,6.89,7.7,6.97,7.53,Job Ready
8.75,8.67,8.25,9.08,8.59,Highly Job Ready
8.59,8.25,6.8,6.11,7.69,Job Ready
6.17,7.13,6.23,5.73,6.38,Job Ready
3.25,5.45,2.46,1.37,1.66,Not Ready
6.11,5.2,4.96,6.8,5.74,Needs Improvement
3.43,4.39,3.68,3.35,5.49,Not Ready
9.11,7.25,6.16,6.16,7.96,Job Ready
8.74,9.14,9.28,8.93,8.71,Highly Job Ready
8.63,8.4,8.77,8.88,8.53,Highly Job Ready
8.57,8.07,8.85,8.2,9.62,Highly Job Ready
6.92,8.23,6.65,7.96,6.97,Job Ready
4.65,4.46,3.58,4.8,6.4,Needs Improvement
5.0,6.07,4.24,3.86,6.1,Needs Improvement
3.35,5.5,4.38,2.29,4.57,Not Ready
9.67,8.27,7.47,9.33,8.45,Highly Job Ready
7.3,5.74,5.92,5.48,4.95,Needs Improvement
6.24,6.28,7.23,4.18,5.36,Needs Improvement
5.29,6.06,5.2,5.54,6.22,Needs Improvement
8.63,7.44,8.01,9.21,8.64,Highly Job Ready
6.25,7.87,7.13,7.34,7.77,Job Ready
7.72,8.71,9.02,9.24,8.67,Highly Job Ready
6.99,8.02,7.54,6.75,7.33,Job Ready
8.53,8.78,8.94,8.2,8.65,Highly Job Ready
4.74,4.52,5.24,3.2,3.3,Not Ready
4.31,5.11,5.18,3.31,5.14,Not Ready
1.7,4.64,5.88,5.44,1.93,Not Ready
8.31,6.96,7.46,6.64,6.46,Job Ready
3.0,4.06,3.8,4.12,3.0,Not Ready
7.63,9.23,7.47,6.64,7.65,Job Ready
9.3,9.33,8.68,8.57,9.54,Highly Job Ready
7.76,6.96,8.61,6.78,8.19,Job Ready
6.85,6.62,5.87,5.45,6.77,Needs Improvement
8.03,7.01,5.97,7.83,8.26,Job Ready
5.07,7.2,7.16,8.0,5.7,Job Ready
7.98,7.92,9.14,7.64,9.72,Highly Job Ready
9.53,9.57,8.49,9.14,8.66,Highly Job Ready
9.59,8.43,9.21,9.24,8.2,Highly Job Ready
6.75,5.16,5.15,6.14,7.49,Needs Improvement
8.07,7.96,9.42,7.91,9.16,Highly Job Ready
8.34,7.64,3.57,7.87,8.93,Job Ready
2.11,4.38,1.02,4.55,2.08,Not Ready
7.1,7.15,6.18,6.42,6.85,Job Ready
2.21,2.18,3.6,2.96,4.23,Not Ready
9.3,9.71,9.27,7.94,10.0,Highly Job Ready
7.93,6.98,7.6,6.69,7.36,Job Ready
8.56,8.99,8.92,9.19,9.19,Highly Job Ready
2.77,3.42,5.44,5.91,3.41,Not Ready
1.86,3.41,3.99,4.47,4.62,Not Ready
9.28,9.9,8.91,8.8,9.14,Highly Job Ready
3.82,4.19,4.29,1.57,4.57,Not Ready
6.12,5.0,4.52,6.63,5.98,Needs Improvement
8.83,7.41,7.04,8.45,7.91,Job Ready
3.86,1.4,4.51,4.67,3.51,Not Ready
7.1,7.47,8.08,6.33,7.64,Job Ready
8.41,9.17,7.47,9.09,7.2,Highly Job Ready
7.32,6.51,4.84,4.93,6.38,Needs Improvement
5.75,3.65,6.0,4.92,6.26,Needs Improvement
4.0,3.3,3.35,1.35,4.1,Not Ready
7.34,6.32,8.91,4.67,5.15,Needs Improvement
4.99,5.94,5.35,5.83,5.56,Needs Improvement
9.38,7.73,7.76,9.73,8.87,Highly Job Ready
4.16,3.52,4.89,1.21,2.85,Not Ready
6.31,5.79,5.5,8.11,5.02,Needs Improvement
8.22,9.17,8.4,8.63,9.37,Highly Job Ready
6.9,6.79,5.35,5.64,6.51,Needs Improvement
4.32,4.17,4.07,5.61,2.57,Not Ready
9.47,7.6,8.55,8.49,9.42,Highly Job Ready
8.1,9.14,8.33,9.06,9.25,Highly Job Ready
8.62,7.61,8.98,8.06,7.1,Job Ready
7.21,5.7,5.05,5.31,6.85,Needs Improvement
2.9,1.13,2.69,2.75,3.57,Not Ready
9.29,8.85,9.78,9.53,8.72,Highly Job Ready
5.24,6.05,4.9,5.63,6.23,Needs Improvement
4.32,3.8,2.94,3.53,3.59,Not Ready
6.62,6.93,5.13,6.13,5.55,Needs Improvement
4.8,6.52,6.13,6.84,6.18,Needs Improvement
9.6,9.19,8.34,9.26,7.34,Highly Job Ready
6.05,7.91,6.64,5.9,6.34,Job Ready
2.66,4.56,4.37,3.92,2.51,Not Ready
5.1,1.1,5.63,4.23,5.04,Not Ready
8.06,8.93,9.25,7.64,9.25,Highly Job Ready
2.53,4.17,2.48,4.62,2.44,Not Ready
7.78,8.34,7.37,7.77,8.8,Job Ready
7.66,8.7,9.6,7.98,10.0,Highly Job Ready
4.21,5.48,2.43,3.06,2.73,Not Ready
8.35,8.93,7.71,7.74,8.07,Highly Job Ready
6.49,6.55,6.15,5.73,5.22,Needs Improvement
8.47,8.07,6.41,7.3,8.17,Job Ready
2.23,3.51,2.95,4.86,3.84,Not Ready
3.18,3.6,3.9,4.5,5.04,Not Ready
4.61,6.28,7.25,5.86,6.34,Needs Improvement
5.65,5.52,7.93,3.67,5.43,Needs Improvement
6.2,6.17,6.06,5.33,6.59,Needs Improvement
5.24,5.81,7.16,6.33,4.17,Needs Improvement
5.81,6.5,4.51,5.0,6.06,Needs Improvement
7.63,8.99,8.16,8.02,8.73,Highly Job Ready
6.95,7.53,7.07,7.67,7.59,Job Ready
9.38,7.88,8.15,8.59,9.85,Highly Job Ready
6.9,6.47,4.89,7.14,6.97,Needs Improvement
2.81,4.22,2.7,4.81,3.74,Not Ready
6.53,7.47,7.13,8.61,7.59,Job Ready
7.07,7.12,7.42,6.7,7.67,Job Ready
3.9,6.98,4.76,5.01,4.77,Not Ready
5.36,4.38,4.02,3.55,3.36,Not Ready
3.4,4.41,4.22,4.27,4.3,Not Ready
5.51,3.49,2.47,3.52,3.92,Not Ready
7.21,8.28,7.13,7.18,6.27,Job Ready
5.42,4.9,5.58,8.14,7.12,Needs Improvement
5.78,1.13,1.5,3.18,3.82,Not Ready
2.77,4.54,3.35,3.79,3.61,Not Ready
5.75,6.47,5.73,4.72,5.67,Needs Improvement
